nama_sekolah,alamat,kelurahan,kecamatan,jumlah_siswa,jumlah_guru,telepon,kondisi_lingkungan,latitude,longitude
SDN Kapuk 10 Pt.,Jl. Ukir II Pedongkelan Kapuk,Kapuk,Cengkareng,480,18,(021) 5447635,Banjir,-6.14502,106.747345
SDN Kapuk 11 Pg.,Jl. Ukir Kapuk,Kapuk,Cengkareng,384,12,(021) 34650171,Banjir,-6.1524,106.747902
SDN Kedaung Kali Angke 03 Pg.,Komp. Dep. Agama Kalimati,Kedaung Kali Angke,Cengkareng,317,13,(021) 54396547,Banjir,-6.154489,106.762192
SDN Kedaung Kali Angke 05 Pg,Jl. Tawang Mangu No.41,Kedaung Kali Angke,Cengkareng,315,12,(021) 54377931,Banjir,-6.152,106.760002
SDN Kedaung Kali Angke 07 Pt.,Jl. Pesing Poglar Rt.004/01,Kedaung Kali Angke,Cengkareng,227,9,(021) 54396502,Banjir,-6.152074,106.770432
SDN Kedaung Kali Angke 08 Pg.,Komplek Departemen Agama,Kedaung Kali Angke,Cengkareng,258,15,(021) 54376876,Banjir,-6.154587,106.762459
SDN Kedaung Kali Angke 11 Pg.,Jl. Tawang Mangu,Kedaung Kali Angke,Cengkareng,284,11,(021) 54395291,Banjir,-6.152611,106.759415
SDN Kedaung Kali Angke 12 Pg.,Komp. Dep. Agama Kalimati,Kedaung Kali Angke,Cengkareng,208,10,(021) 54395180,Banjir,-6.154,106.762001
SDN Rawa Buaya 01 Pg.,Jl. Bojong Raya,Rawa Buaya,Cengkareng,321,14,(021) 58357385,Banjir,-6.166259,106.735924
SDN Rawa Buaya 04 Pt.,Jl. Bojong Raya,Rawa Buaya,Cengkareng,348,11,(021) 58357384,Banjir,-6.16626,106.735924
SDN Rawa Buaya 08 Pg.,Jl. Bojong Raya Rt. 002/ 04,Rawa Buaya,Cengkareng,425,15,(021) 58350682,Banjir,-6.168379,106.733101
SDN Rawa Buaya 09 Pg.,Jl. Cempaka Raya No. 1 Kp.Klingkit,Rawa Buaya,Cengkareng,477,16,(012) 58354522,Banjir,-6.161142,106.744278
SDN Rawa Buaya 10 Pt.,Jl. Cempaka Raya No.1 Kp. Klingkit,Rawa Buaya,Cengkareng,429,18,(021) 58357417,Banjir,-6.16082,106.744072
SDS Anugerah,Jl. Kapuk Raya Gg. Sinar,Kapuk,Cengkareng,131,5,(021) 619207,Banjir,-6.13978,106.76342
SDS Rahmani II,Jl. Durian V No. 1,Rawa Buaya,Cengkareng,90,10,(021) 5816291,Banjir,-6.164739,106.737778
SDN Cilandak Barat 12 Pg.,Jl. Tmn Wijaya Kusuma III,Cilandak Barat,Cilandak,321,11,(021) 75910507,Banjir,-6.298859,106.803223
SDN Gandaria Selatan 03 Pg.,Jl. Madrasah No. 45,Gandaria Selatan,Cilandak,165,9,(021) 75911413,Banjir,-6.26694,106.793694
SDN Gandaria Selatan 04 Pg.,Jl. Madrasah No. 45 Gandaria Selatan,Gandaria Selatan,Cilandak,172,9,(021) 7667178,Banjir,-6.267469,106.796272
SDN Lebak Bulus 03 Pg.,Jl. Pertanian III No. 58,Lebak Bulus,Cilandak,361,16,(021) 7698247,Banjir,0,0
SDI Baburridho,Jl. Baru No.52,Kalibaru,Cilincing,240,9,(021) 4418163,Banjir,-6.101726,106.926895
SDI Manba'ul Hikmah,Jl. Tipar cakung No. 2,Suka Pura,Cilincing,621,22,(021) 44830057,Banjir,-6.152618,106.926842
SDN Cilincing 05 Pg.,Jl. Baru Gg II No.2A,Cilincing,Cilincing,349,11,(021) 44833163,Banjir,-6.104135,106.92955
SDN Cilincing 09 Pg.,Jl. Bhakti VIII No. 12,Cilincing,Cilincing,540,19,(021) 44835367/44834475,Banjir,-6.107637,106.938019
SDN Kali Baru 05 Pg.,Jl. Kalibaru Barat IV No. 60,Kalibaru,Cilincing,521,21,(021) 44833627,Banjir,-6.105555,106.92083
SDN Kali Baru 09 Pg.,Jl. Kalibaru Timur VII No.5,Kalibaru,Cilincing,728,27,(021) 4400687,Banjir,-6.09818,106.934036
SDN Rorotan 03 Pg.,Jl. Rorotan XI  NO. 30,Rorotan,Cilincing,375,16,(021) 44853274,Banjir,-6.143993,106.956367
SDN Semper Barat 03 Pg.,Jl. Kapuas Raya,Semper Barat,Cilincing,392,16,(021) 4401514,Banjir,-6.123384,106.923775
SDN Semper Barat 04 Pt.,Jl. Sungai Kapuas Raya,Semper Barat,Cilincing,313,16,(021) 44832015,Banjir,-6.123384,106.923775
SDN Semper Barat 09 Pg.,Jl. F. No. 1 Kebon Baru,Semper Barat,Cilincing,386,20,(021) 4401613,Banjir,-6.116035,106.921867
SDN Semper Barat 11 Pg.,Jl. Kapuas Raya,Semper Barat,Cilincing,456,19,(021) 4400289,Banjir,-6.125818,106.924515
SDS Bambu Kuning,Jl. S. Sirem,Marunda,Cilincing,50,7,(021) 98138113,Banjir,-6.116361,106.958672
SDS Islam Darus Syifa,Jl. S. Barito No. 45 Kp. Kurus,Semper Barat,Cilincing,130,11,(021) 44833909,Banjir,-6.129521,106.928558
SDS Mahaprajna,Jl. Cilincing Lama No.3,Cilincing,Cilincing,0,16,(021) 4414543,Banjir,-6.100038,106.937233
SDS Nurul Falah I,Jl. Dewa Kembar Komp. TNI AL,Semper Timur,Cilincing,190,10,(021) 44835354,Banjir,-6.11135,106.925301
SDS Nurul Falah II,Jl. Dewa Kembar Komp. TNI AL,Semper Timur,Cilincing,184,10,(021) 44835354,Banjir,-6.11135,106.925301
SDS Nurul Huda,Jl. Bakti IX  No. 27,Semper Timur,Cilincing,302,10,(021) 4408648,Banjir,-6.10858,106.935356
SDS Pantai Indah,Jl. Kalibaru Timur,Kalibaru,Cilincing,456,12,(021) 4412759,Banjir,-6.100489,106.933708
SDS Std. TKM II,Jl. Raya Cakung Cilincing No. 11,Semper Timur,Cilincing,242,10,(021) 4416136,Banjir,-6.1254,106.927544
SDN Rambutan 03 Pg.,Jl. SD Inpres No. 1-2,Rambutan,Ciracas,705,31,(021) 8408127; 8416923,Banjir,-6.303188,106.875076
SDN Duren Sawit 08 Pg.,Jl. Inspeksi Saluran No.39 A,Duren Sawit,Duren Sawit,420,14,(021) 8629139,Banjir,0,0
SDN Klender 14 Pg.,Jl. Dermaga Baru,Klender,Duren Sawit,302,14,(021) 8630438,Banjir,0,0
SDN Klender 15 Pg.,Jl. Dermaga Baru I,Klender,Duren Sawit,293,12,(021) 8622123,Banjir,0,0
SDN Klender 16 Pg.,Jl. Dermaga Baru,Klender,Duren Sawit,314,11,(021) 8605646,Banjir,0,0
SDN Klender 20 Pg.,Jl. Dermaga Baru I,Klender,Duren Sawit,312,14,(021) 86603077,Banjir,0,0
SDN Pondok Bambu 15 Pg.,Jl. Balai Rakyat III No. 15,Pondok Bambu,Duren Sawit,371,13,(021) 8615488,Banjir,0,0
SDN Pondok Kelapa 06 Pg.,Jl. AD. Lampiri Raya,Pondok Kelapa,Duren Sawit,644,26,(021) 8651227,Banjir,0,0
PKBM Negeri 05 Paket A,Jl. Latumenten I No. 76,Jelambar,Grogol Petamburan,2,0,(021) 56976080,Banjir,0,0
SDN Jelambar 06 Pg.,Jl. Kavling Polri Blok D.XIII,Jelambar,Grogol Petamburan,403,17,(021) 56966313,Banjir,-6.158849,106.784111
SDN Jelambar Baru 01 Pg.,Jl. Jelambar Barat II E,Jelambar Baru,Grogol Petamburan,486,18,(021) 56961124,Banjir,-6.1457,106.784302
SDN Jelambar Baru 07 Pg.,Jl. Sukajaya I,Jelambar Baru,Grogol Petamburan,339,15,(021) 5647660,Banjir,-6.15357,106.79081
SDN Tanjung Duren Utara 02 Pg.,Jl. Tanjung Duren Utara III/ E,Tanjung Duren Utara,Grogol Petamburan,290,17,(021) 5640403,Banjir,-6.172409,106.783607
SDN Wijaya Kusuma 04 Pt.,Jl. Perdana Raya No. 7,Wijaya Kusuma,Grogol Petamburan,170,9,(021) 56962814,Banjir,-6.152791,106.774261
SDS Amitayus,Jl. Seni Budaya Raya No. 1,Jelambar Baru,Grogol Petamburan,175,10,(021) 5676717,Banjir,-6.151068,106.784698
SDS Tunas Harapan,Jl. Komp. Bank BNI 46 Pesing,Wijaya Kusuma,Grogol Petamburan,0,13,0813 8570979,Banjir,-6.155419,106.771828
SDN Bidaracina 03 Pg.,Jl. Setia No. 10,Bidara Cina,Jatinegara,324,17,0859 06091,Banjir,0,0
SDN Bidaracina 05 Pg.,Jl. Tanjung Lengkong No.51,Bidara Cina,Jatinegara,397,17,(021) 9621727,Banjir,0,0
SDN Cipinang Cempedak 05 Pg.,Jl. Bhineka IV Cawang Kavling,Cipinang Cempedak,Jatinegara,263,11,0859 02318,Banjir,-6.24197,106.872398
SDN Cipinang Muara 21 Pg.,Jl. D Komplek Cipinang Indah,Cipinang Muara,Jatinegara,164,8,(021) 8574576,Banjir,0,0
SDS Assalam Jaya,Jl. Kebon Nanas Selatan II/5,Cipinang Cempedak,Jatinegara,49,10,(021) 8198145,Banjir,0,0
SDS Muhammadiyah 11,Jl. Tanjung Lengkong No. 04,Bidara Cina,Jatinegara,79,8,(021) 85917477,Banjir,0,0
SDN Johar Baru 10 Pg.,Jl. Mardani Raya No.12 A,Johar Baru,Johar Baru,542,20,(021) 4209736,Banjir,-6.181745,106.859924
SDN Lagoa 11 Pg.,JL. LAGOA TERUSAN GG. IV D.1 NO.1,Lagoa,K o j a,655,26,(021) 43905686,Banjir,-6.112239,106.914742
SDN Rawa Badak Utara 03 Pg.,Jl. Alur Laut No.37,Rawa Badak Utara,K o j a,475,19,(021) 43905286,Banjir,-6.118336,106.898712
SDN Rawa Badak Utara 15 Pg.,Jl. Rawa Badak Barat. No. 37,Rawa Badak Utara,K o j a,493,20,(021) 43903568,Banjir,-6.11904,106.901733
SDN Rawa Badak Utara 17 Pg.,Jl. Rawa Badak Barat No. 37,Rawa Badak Utara,K o j a,327,13,(021) 43905614,Banjir,-6.11904,106.901733
SDN Tugu Selatan 02 Pt.,Jl. Balai Rakyat No. 17,Tugu Selatan,K o j a,317,16,(021) 43904847,Banjir,-6.123014,106.915344
SDN Tugu Utara 03 Pg.,Jl. Mangga Ujung No.3,Tugu Utara,K o j a,487,20,(021) 43911738,Banjir,-6.124719,106.910431
SDN Tugu Utara 14 Pg.,Jl. Kramat Jaya Gg.VIII Blok  R No. 43,Tugu Utara,K o j a,276,10,(021) 44834962,Banjir,-6.120278,106.920624
